Class,BLEU4_Mean,BLEU4_Std,Sample_Count,Accuracy,F1_Score,Precision,Recall
beaker,0.527950541818653,0.4102235369785763,30,0.9666666666666667,0.8923076923076924,0.8285714285714286,0.9666666666666667
american_chameleon,0.23561007170128268,0.31305868807245757,30,0.9333333333333333,0.8888888888888888,0.8484848484848485,0.9333333333333333
binoculars,0.06409077641169478,0.0962859137699367,30,0.8,0.8888888888888888,1.0,0.8
african_crocodile,0.19191348705165437,0.2870959070892653,30,1.0,0.8823529411764706,0.7894736842105263,1.0
bolete,0.2406088418028765,0.2560531395401209,30,0.8666666666666667,0.8813559322033898,0.896551724137931,0.8666666666666667
candle,0.16140290842157148,0.17692029289699493,30,0.8333333333333334,0.8771929824561403,0.9259259259259259,0.8333333333333334
backpack,0.08301764421591752,0.049425639384130776,30,0.9333333333333333,0.875,0.8235294117647058,0.9333333333333333
breastplate,0.24255775192096946,0.32210204435611034,30,0.9,0.84375,0.7941176470588235,0.9
bow,0.10143313973501498,0.11766303919201072,30,0.8,0.8275862068965517,0.8571428571428571,0.8
barrel,0.12299391648107315,0.20895026018920254,30,0.8,0.8275862068965517,0.8571428571428571,0.8
assault_rifle,0.3058726133713346,0.34697846066603405,30,0.8,0.8275862068965517,0.8571428571428571,0.8
bulletproof_vest,0.34938918026790594,0.33876202388355,30,0.8,0.8275862068965517,0.8571428571428571,0.8
bucket,0.1740516741825685,0.27122220683722653,30,0.8333333333333334,0.819672131147541,0.8064516129032258,0.8333333333333334
spider,0.43267865353101226,0.36923628924869856,30,0.7666666666666667,0.8070175438596491,0.8518518518518519,0.7666666666666667
ant,0.3029814475713143,0.34610729094887366,30,0.8666666666666667,0.5531914893617021,0.40625,0.8666666666666667
bee,0.22834137297077967,0.2972452345280943,30,0.9333333333333333,0.45901639344262296,0.30434782608695654,0.9333333333333333
cannon,0.4331420646562612,0.38973651958426275,30,0.0,0.0,0.0,0.0
beer_glass,0.3500861966455352,0.31580399703046014,30,0.0,0.0,0.0,0.0
beer_bottle,0.3374210212524764,0.2201140448722319,30,0.0,0.0,0.0,0.0
